countryname_en,countrycode,fraction,participation ,population_2000,population_2014,population_2020,population_2030,population_2050,"average_monthly_disposable_salary_2014 - Quelle: Nationmaster, OECD",source for salary,unemployment_2013,gdp_pc_ppp_2012,gdp_pc_ppp_2014,gdp_2012,gdp_2014,gdp_growth_2014,important_industry_de,important_industry_en,Wirtschaftsleistung in der wichtigsten Industrie zum BIP,Wem gehört die wichtigste Industrie,wichtigste Handelspartner,co2_kt_2012,co2_t_pc_2012,total_primary_energy_production_2012,total_primary_energy_production_2008,total_recoverable_coal_2011,climate_change_performance_index,labeled
Bosnia-Herzegovina,BIH,C,X,3792878,3817554,3758000,3584000,3069000,#N/A,"
",28.39999962,9369.886558,9922.834598,,18344278253,1.246022998,Metallindustrie,metall industry,,,,23747.5,6.2,0.24389,0.23048,3144.89431,,
Botswana,BWA,D,X,1736579,2219937,2460000,2817000,3389000,528.84,nationmaster,18.39999962,14255.45741,16099.28423,,15813371063,4.421063812,Diamanten,diamonds,,,,4855.1,2.28,0.01896,0.02332,44.09245,,
Brazil,BRA,C,X,175786441,206077898,215997000,228663000,238270000,972,OECD,5.900000095,15220.22863,15838.02041,,2346118175194,0.1447073541,"Soja, Fleisch, Eisenerz","soya, ironore, meat",,,,439412.9,2.17,9.75815,8.55701,7308.32431,49,
Brunei Darussalam,BRN,B,,330554,417394,450000,496000,546000,#N/A,,3.799999952,74160.9066,76753.616,,17256754269,5.3,"Rohöl, Gas","crude oil, gas",,,,9743.2,24.03,0.79203,0.83483,NA,,
Bulgaria,BGR,C,X,8170172,7226291,6906000,6319000,5249000,506.76,nationmaster,12.89999962,15671.82626,16323.84,,55734676435,1.705473502,"Elektrotechnik, Maschinenbau","electrotechnology, machine construction",,,,49339.5,6.75,0.4425,0.39568,2608.06868,41,
Burkina Faso,BFA,D,X,11607944,17589198,20861000,27244000,42789000,#N/A,,3.099999905,1546.937768,1667.590001,,12542969275,4.049760898,Baumwolle,cotton,,,,1932.5,0.12,0.00092,0.00133,NA,,
Burundi,BDI,D,X,6767073,10816860,13126000,17357000,28668000,256.25,nationmaster,6.900000095,729.6978989,769.881954,,3093647293,4.660918184,"Kaffee, Tee","coffee, tea",,,,209,0.02,0.0019,0.00109,NA,,
Cabo Verde,CPV,D,X,438737,513906,553000,614000,707000,#N/A,,7,6253.923989,6515.623787,,1871187334,2.738246888,Fischindustrie,fishindustry,,,,#N/A,#N/A,0.00007,0.00006,#N/A,,
Cambodia,KHM,D,X,12197905,15328136,16809000,18991000,22545000,243.94,nationmaster,0.3000000119,2846.728584,3259.26308,,16709432403,7.031709556,Bekleidungsindustrie,garment,,,,4495.7,0.3,0.00509,0.00061,NA,,
Cameroon,CMR,D,X,15927713,22773014,26333000,32947000,48362000,466.74,nationmaster,4,2714.105601,2971.081289,,32548591286,5.886294664,"Kohlenwasserstoffe (Öl), Kleidungsindustrie",hydrocarbons (oil),,,,5661.8,0.26,0.18647,0.21981,NA,,
Canada,CAN,B,X,30769700,35540419,37545000,40311000,44240000,2447.08,OECD,7.099999905,42280.83331,44088.54045,,1786655064510,2.531770225,"Kohlenwasserstoffe (Öl, Gas)","Hydrocarbons (oil, gas)",,,,485463.1,13.97,19.13864,19.03963,7255.41337,58,
Cayman Islands,CYM,C,,41685,59172,64000,71000,82000,3313.01,nationmaster,,,,,,,"Fischindustrie, Finanzen",fishindustry,,,,583.1,10.14,0,0,NA,,
Central African Republic,CAF,D,X,3726048,4804316,5409000,6490000,8782000,#N/A,,7.599999905,928.9726305,594.164281,,1782927903,1.010329129,"Holz, Diamanten","wood, diamonds",,,,286,0.06,0.00147,0.00134,3.30693,,
Chad,TCD,D,X,8343321,13587053,16431000,21946000,35131000,#N/A,,7,1996.492537,2182.043621,,13922224561,7.300000713,"Kohlenwasserstoffe (Öl), Kleidungsindustrie","hydrocarbons (oil), garment",,,,539,0.04,0.23862,0.29042,NA,,
Channel Islands,CHI,,,148725,162917,167000,174000,181000,#N/A,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,
Chile,CHL,C,X,15170387,17762647,18842000,20250000,21601000,949.5,nationmaster,6,21183.0464,22345.96111,,258061522887,1.894049024,Kupfer,copper,,,,79408.9,4.57,0.32891,0.36245,170.85826,,
China,CHN,C,X,1262645000,1364270000,1398221000,1413854000,1337803000,731.14,nationmaster,4.599999905,11214.76879,13216.54189,,10360105247908,7.351000022,Stahlindustrie,steel,,,,9019518.2,6.68,101.78119,72.99299,126214.6507,45,
Colombia,COL,D,X,40403959,47791393,50229000,53175000,54927000,474.66,nationmaster,10.5,12052.91687,13357.14613,,377739622866,4.552500992,"Hydrocarbons, (Öl, Gas)","hydrocarbons (oil, gas)",,,,72423.3,1.54,5.35248,4.04401,7436.19243,,
Comoros,COM,D,X,547696,769991,883000,1081000,1502000,#N/A,,6.5,1428.436798,1494.093801,,647720102.5,3.003660309,"Fisch, Vanille","fish, vanille",,,,157.7,0.21,0.00003,0.00005,NA,,
Congo,COG,D,X,3109269,4504962,5263000,6790000,10732000,#N/A,,6.5,5800.420562,6263.00917,,14135462556,6.546200012,Öl,oil,,,,2247.9,0.52,0.66096,0.52161,NA,,
Costa Rica,CRI,D,X,3925450,4757606,5044000,5413000,5759000,779.04,nationmaster,7.599999905,13833.10559,14918.0733,,49552580683,3.502352231,"Bauxit, Aluminium","bauxite, aluminium",,,,7843.7,1.69,0.08824,0.08594,NA,,
Côte d'Ivoire,CIV,D,X,16517948,22157107,25566000,32143000,48797000,#N/A,,4,2802.412017,3271.710462,,34253611098,8.995497386,"Gold, Kakao","gold, cacao",,,,6446.6,0.31,0.15657,0.20399,NA,,
Croatia,HRV,A,X,4426000,4236400,4158000,4006000,3591000,869.71,nationmaster,17.70000076,21113.61755,21252.29998,,57222574023,-0.399950151,"Kohlenwasserstoffe (Erdölraffinerien), Eisen, Stahl","hydrocarbons (oil refinery), iron, steel",,,,20553.5,4.82,0.14791,0.16152,4.40925,34,
Cuba,CUB,D,X,11116787,11379111,11366000,11237000,10339000,25.05,nationmaster,3.200000048,19811.86337,,,,,Zucker,sugar,,,,35921.9,3.17,0.16522,0.17215,NA,,
Curacao,CUW,D,,133860,155872,165000,173000,173000,1101.83,nationmaster,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,
